Aalter trein,Aarschot trein,Antwerpen trein,Brugge trein,Brussel trein,Denderleeuw trein,Dendermonde trein,Diest trein,Gent trein,Halle trein,Hasselt trein,Kortrijk trein,Landen trein,Leuven trein,Lier trein,Lokeren trein,Liège-Guillemins trein,Mechelen trein,Namur trein,Oostende trein,Ottignies trein,Tienen trein,Vilvoorde trein,Waregem trein
0,0,13,5,45,0,0,0,17,0,5,36,0,6,0,0,7,10,0,55,0,0,0,0
0,0,14,3,80,0,0,0,35,0,2,33,0,6,0,29,7,10,0,46,0,0,29,0
0,0,13,2,77,0,0,0,49,22,0,52,0,2,22,0,14,21,0,37,0,0,29,0
0,0,23,3,47,0,0,0,36,0,2,46,0,3,0,30,0,15,0,39,0,0,30,0
21,0,6,5,40,0,0,0,20,0,4,51,0,4,26,33,16,12,0,57,0,0,0,0
0,0,25,3,43,0,0,0,31,25,3,62,0,3,50,32,8,12,0,52,0,0,65,0
0,0,5,3,85,0,0,0,27,0,5,36,0,0,0,0,7,0,0,30,0,0,0,0
0,7,15,3,64,0,0,0,30,0,5,43,0,5,21,28,7,7,0,42,0,0,0,0
0,7,21,3,78,0,0,0,10,0,2,43,0,7,0,28,10,10,0,45,0,0,28,0
19,7,13,5,80,0,0,0,35,0,2,22,0,3,0,0,7,14,0,31,0,0,0,0
0,0,13,4,57,0,0,0,18,23,4,34,0,4,0,0,7,11,0,32,0,0,0,0
0,0,12,5,56,0,0,0,24,0,2,38,0,3,26,100,16,8,0,36,0,0,0,0
0,0,17,2,52,0,0,0,12,0,2,25,0,8,0,0,8,12,0,64,0,0,0,0
0,24,16,2,83,0,0,0,28,22,2,33,0,9,22,0,0,21,0,25,0,0,29,0
0,7,12,2,52,0,0,0,21,0,2,55,0,6,22,0,7,7,0,18,0,0,28,0
19,7,12,2,63,0,0,0,21,22,2,44,0,8,0,29,7,0,0,37,0,0,0,0
18,0,12,5,48,0,0,0,17,22,6,43,0,5,0,57,7,7,0,49,0,0,0,0
0,7,14,3,60,0,0,0,14,23,0,45,0,6,0,0,0,7,0,28,0,0,0,0
0,8,15,5,56,0,0,0,40,0,3,38,0,4,0,0,16,8,0,50,0,0,0,0
0,8,18,7,98,0,0,0,43,0,4,41,0,8,0,0,0,16,0,42,0,0,0,0
18,7,11,3,54,0,0,0,20,21,2,21,0,5,0,0,10,20,0,36,0,0,0,0
24,7,16,3,64,0,0,0,34,43,2,32,0,4,22,0,7,17,0,18,0,0,28,0
18,7,9,2,64,0,0,0,20,0,2,21,0,3,22,0,0,7,0,45,0,0,0,0
18,7,13,4,81,0,0,0,24,0,0,36,0,8,0,0,0,7,0,42,0,0,28,0
19,0,6,6,53,0,0,0,35,0,9,30,0,6,45,0,14,0,0,47,0,0,0,0
0,0,12,7,43,0,0,0,16,25,3,25,0,4,25,0,0,0,0,21,0,0,0,0
0,0,14,3,63,0,0,0,24,0,3,62,0,2,25,33,8,12,0,35,0,0,0,0
18,0,17,5,85,0,0,0,10,0,2,32,0,5,22,0,7,7,0,18,0,0,0,0
0,0,12,5,70,0,0,0,27,42,2,21,0,4,0,56,7,0,0,27,0,0,0,0
0,7,11,6,70,0,0,0,27,0,3,0,0,4,0,28,0,13,0,45,0,0,0,0
0,7,11,2,54,0,0,0,17,22,2,22,0,2,22,0,14,7,0,36,0,0,0,0
0,7,8,0,50,0,0,0,25,0,4,91,0,6,23,0,14,7,0,38,0,0,0,0
0,0,18,4,28,0,0,0,48,51,2,0,0,9,0,67,8,8,0,43,0,0,0,0
0,0,17,4,39,0,0,0,47,0,2,25,0,4,0,97,0,16,0,64,0,0,0,0
0,0,14,3,49,0,0,0,45,0,0,45,0,3,0,29,7,0,0,31,0,0,0,0
0,0,20,3,84,0,0,0,35,0,2,30,0,3,22,0,7,14,0,37,0,0,0,0
0,0,15,5,72,0,0,0,21,22,0,36,0,6,0,0,0,10,0,73,0,0,0,0
0,0,17,8,51,0,0,0,34,22,3,29,0,3,0,0,0,14,0,36,0,0,0,0
0,7,10,5,38,0,0,0,24,0,2,44,0,3,45,0,0,14,0,28,0,0,0,0
0,0,13,3,46,0,0,0,31,0,2,37,0,2,49,32,8,0,0,34,0,0,0,0
20,8,14,5,80,0,0,0,27,0,2,48,0,5,0,32,0,0,0,61,0,0,0,0
0,0,16,4,69,0,0,0,20,0,4,0,0,4,0,0,0,7,0,29,0,0,0,0
0,13,9,3,56,0,0,0,16,0,1,31,0,1,0,0,13,10,0,26,0,0,27,0
0,0,9,2,47,0,0,0,25,0,1,20,0,3,20,26,9,6,0,28,0,0,0,0
0,0,7,2,47,0,0,0,41,0,2,64,0,4,21,0,14,14,0,30,0,0,0,0
0,0,14,2,53,0,0,0,32,22,3,22,0,4,0,29,14,7,0,25,0,0,0,0
0,0,14,4,23,0,0,0,20,0,4,25,0,4,25,0,0,8,0,28,0,0,32,0
0,0,9,4,73,0,0,0,34,0,2,24,0,3,24,0,12,12,0,83,0,0,0,0
0,0,15,3,50,0,0,0,30,21,1,28,0,4,21,0,0,13,0,35,0,0,0,0
18,0,10,5,50,0,0,0,30,0,2,32,0,4,43,0,13,13,0,18,0,0,0,0
0,0,9,0,53,0,0,0,20,21,3,53,0,5,21,0,0,13,0,53,0,0,0,0
18,14,12,2,45,0,0,0,24,0,5,43,0,3,22,0,7,7,0,27,0,0,28,0
0,0,10,6,52,0,0,0,38,33,2,44,0,4,22,0,14,14,0,38,0,0,29,0
21,0,6,4,35,0,0,0,16,0,2,37,0,5,49,32,8,16,0,48,0,0,0,0
0,0,9,3,100,0,0,0,46,24,2,24,0,3,48,0,0,15,0,55,0,0,32,0
0,0,15,3,79,0,0,0,33,0,1,21,0,1,42,0,0,7,0,35,0,0,0,0
0,7,11,4,46,0,0,0,17,0,0,28,0,5,0,0,0,7,0,18,0,0,0,0
0,0,12,6,54,0,0,0,27,21,3,43,0,3,21,0,13,7,0,24,0,0,0,0
0,7,11,2,66,0,0,0,42,0,2,22,0,2,0,29,0,14,0,37,0,0,0,0
19,7,6,5,52,0,0,0,10,0,2,33,0,2,22,0,10,14,0,28,0,0,29,0
0,0,10,3,50,0,0,0,12,0,3,24,0,2,74,32,15,15,0,20,0,0,0,0
20,8,15,3,65,0,0,0,34,0,3,60,0,3,24,0,11,15,0,30,0,0,0,0
18,7,13,4,45,0,0,0,32,0,3,41,0,0,21,0,7,10,0,23,0,0,0,0
0,0,18,3,65,0,0,0,16,0,2,31,0,2,0,54,7,10,0,29,0,0,0,0
0,0,8,2,63,0,0,0,23,0,0,0,0,0,0,55,0,7,0,18,0,0,0,0
0,0,15,5,74,0,0,0,33,0,2,32,0,4,43,0,13,13,0,30,0,0,0,0
18,7,9,3,48,0,0,0,10,0,2,44,0,2,65,0,0,14,0,31,0,0,28,0
0,0,14,3,58,0,0,0,8,0,2,24,0,2,24,64,8,8,0,41,0,0,0,0
0,0,10,3,30,0,0,0,38,0,3,84,0,3,0,32,8,8,0,41,0,0,0,0
0,0,10,4,49,0,0,0,26,0,3,0,0,5,0,55,7,10,0,0,0,0,0,0
0,0,9,3,82,0,0,0,49,0,3,31,0,2,21,27,7,20,0,53,0,0,27,0
18,7,10,5,70,0,0,0,10,0,3,35,0,2,0,0,7,7,0,18,0,0,0,0
18,0,19,2,44,0,0,0,24,22,0,22,0,3,22,28,7,7,0,18,0,0,0,0
0,14,13,2,50,0,0,0,14,0,0,30,0,4,23,59,11,7,0,19,0,0,0,0
